True
global_step=126, episodic_return=[-42.324677]
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496784.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1126, episodic_return=[-173.32494]
global_step=1142, episodic_return=[-2.5706291]
global_step=1319, episodic_return=[-35.833218]
global_step=1344, episodic_return=[-4.1009264]
global_step=1401, episodic_return=[6.870163]
global_step=1560, episodic_return=[-55.777313]
global_step=1584, episodic_return=[-27.996712]
global_step=1752, episodic_return=[-42.077377]
global_step=1783, episodic_return=[8.405434]
global_step=1840, episodic_return=[-8.279094]
global_step=1917, episodic_return=[-3.111171]
global_step=1999, episodic_return=[-80.51255]
global_step=2013, episodic_return=[4.7487254]
global_step=2043, episodic_return=[-6.9069123]
global_step=2073, episodic_return=[3.889929]
global_step=2089, episodic_return=[4.4567785]
global_step=2224, episodic_return=[7.4180865]
global_step=2252, episodic_return=[-6.5122814]
global_step=2391, episodic_return=[-16.517914]
global_step=2473, episodic_return=[-10.474894]
global_step=2488, episodic_return=[-10.109045]
global_step=2545, episodic_return=[-11.913136]
global_step=2563, episodic_return=[-14.739863]
global_step=3563, episodic_return=[-228.89194]
global_step=3657, episodic_return=[-16.035662]
global_step=3736, episodic_return=[-1.7798786]
global_step=3912, episodic_return=[15.248887]
global_step=3926, episodic_return=[3.2577755]
global_step=3957, episodic_return=[-9.125216]
global_step=3985, episodic_return=[-15.281867]
global_step=4014, episodic_return=[11.130942]
