True
global_step=999, episodic_return=[-307.48352]
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4487127.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1999, episodic_return=[-396.30524]
global_step=2999, episodic_return=[-201.10631]
global_step=3999, episodic_return=[-323.77756]
global_step=4999, episodic_return=[-218.16974]
global_step=5999, episodic_return=[-394.406]
global_step=6999, episodic_return=[-330.69897]
global_step=7999, episodic_return=[-260.6252]
global_step=8999, episodic_return=[-214.65083]
global_step=9999, episodic_return=[-178.18248]
global_step=10999, episodic_return=[-177.70667]
global_step=11999, episodic_return=[-195.78236]
global_step=12999, episodic_return=[-144.3952]
global_step=13999, episodic_return=[-191.15318]
global_step=14999, episodic_return=[-82.11514]
global_step=15999, episodic_return=[-38.71717]
global_step=16999, episodic_return=[-46.184685]
global_step=17999, episodic_return=[-324.74567]
global_step=18999, episodic_return=[-79.41214]
global_step=19999, episodic_return=[-46.636272]
global_step=20999, episodic_return=[267.0447]
global_step=21999, episodic_return=[575.0025]
global_step=22999, episodic_return=[693.6935]
global_step=23999, episodic_return=[923.0066]
global_step=24999, episodic_return=[1167.5941]
global_step=25999, episodic_return=[1342.2972]
global_step=26999, episodic_return=[1816.9536]
global_step=27999, episodic_return=[1011.4855]
global_step=28999, episodic_return=[1716.7623]
global_step=29999, episodic_return=[2075.1165]
global_step=30999, episodic_return=[2365.9878]
global_step=31999, episodic_return=[2528.2017]
global_step=32999, episodic_return=[2652.6929]
global_step=33999, episodic_return=[2451.4714]
global_step=34999, episodic_return=[2963.2688]
global_step=35999, episodic_return=[2880.877]
global_step=36999, episodic_return=[2899.7778]
global_step=37999, episodic_return=[3350.3914]
global_step=38999, episodic_return=[2874.3162]
global_step=39999, episodic_return=[2877.2407]
global_step=40999, episodic_return=[2669.0598]
global_step=41999, episodic_return=[3293.7827]
global_step=42999, episodic_return=[3431.774]
global_step=43999, episodic_return=[3184.2996]
global_step=44999, episodic_return=[3334.828]
global_step=45999, episodic_return=[3402.096]
global_step=46999, episodic_return=[3660.3828]
global_step=47999, episodic_return=[3585.8457]
global_step=48999, episodic_return=[3700.5935]
global_step=49999, episodic_return=[3546.1763]
global_step=50999, episodic_return=[3810.243]
global_step=51999, episodic_return=[3885.4111]
global_step=52999, episodic_return=[3973.3223]
global_step=53999, episodic_return=[3967.8184]
global_step=54999, episodic_return=[3899.8428]
global_step=55999, episodic_return=[4106.0283]
global_step=56999, episodic_return=[4225.8228]
global_step=57999, episodic_return=[4098.355]
global_step=58999, episodic_return=[3866.7192]
global_step=59999, episodic_return=[4306.156]
global_step=60999, episodic_return=[4224.4595]
global_step=61999, episodic_return=[4361.4316]
global_step=62999, episodic_return=[4312.5874]
global_step=63999, episodic_return=[4381.1445]
global_step=64999, episodic_return=[4470.0615]
global_step=65999, episodic_return=[4574.9014]
global_step=66999, episodic_return=[4495.616]
global_step=67999, episodic_return=[4723.331]
global_step=68999, episodic_return=[4612.852]
global_step=69999, episodic_return=[4746.1997]
global_step=70999, episodic_return=[4680.805]
global_step=71999, episodic_return=[4860.218]
global_step=72999, episodic_return=[4916.3984]
global_step=73999, episodic_return=[4726.626]
global_step=74999, episodic_return=[4755.0522]
global_step=75999, episodic_return=[4880.1196]
global_step=76999, episodic_return=[5001.8003]
global_step=77999, episodic_return=[4886.547]
global_step=78999, episodic_return=[5101.7495]
global_step=79999, episodic_return=[5015.3525]
global_step=80999, episodic_return=[4867.9473]
global_step=81999, episodic_return=[2809.8706]
global_step=82999, episodic_return=[5085.718]
global_step=83999, episodic_return=[5201.291]
global_step=84999, episodic_return=[5185.4463]
global_step=85999, episodic_return=[5081.4854]
global_step=86999, episodic_return=[5195.7163]
global_step=87999, episodic_return=[5178.7583]
global_step=88999, episodic_return=[5262.318]
global_step=89999, episodic_return=[5286.714]
global_step=90999, episodic_return=[5325.883]
global_step=91999, episodic_return=[5609.6914]
global_step=92999, episodic_return=[5549.2036]
global_step=93999, episodic_return=[5423.883]
global_step=94999, episodic_return=[5272.53]
global_step=95999, episodic_return=[5291.148]
global_step=96999, episodic_return=[1489.0382]
global_step=97999, episodic_return=[5765.3447]
global_step=98999, episodic_return=[5435.7793]
global_step=99999, episodic_return=[796.78253]
global_step=100999, episodic_return=[5461.8193]
global_step=101999, episodic_return=[5728.5796]
global_step=102999, episodic_return=[5546.1865]
global_step=103999, episodic_return=[5931.405]
global_step=104999, episodic_return=[5812.097]
global_step=105999, episodic_return=[5843.0796]
global_step=106999, episodic_return=[1994.4285]
global_step=107999, episodic_return=[5991.211]
global_step=108999, episodic_return=[5681.01]
global_step=109999, episodic_return=[2701.4888]
global_step=110999, episodic_return=[2244.8982]
global_step=111999, episodic_return=[5790.0083]
global_step=112999, episodic_return=[5987.4644]
global_step=113999, episodic_return=[5736.231]
global_step=114999, episodic_return=[6013.147]
global_step=115999, episodic_return=[1171.9518]
global_step=116999, episodic_return=[5856.1636]
global_step=117999, episodic_return=[5949.289]
global_step=118999, episodic_return=[5908.6475]
global_step=119999, episodic_return=[5947.9224]
global_step=120999, episodic_return=[6023.446]
global_step=121999, episodic_return=[6015.9614]
global_step=122999, episodic_return=[5942.6846]
global_step=123999, episodic_return=[6097.7256]
global_step=124999, episodic_return=[1633.7194]
global_step=125999, episodic_return=[5989.1826]
global_step=126999, episodic_return=[6208.9937]
global_step=127999, episodic_return=[6237.3457]
global_step=128999, episodic_return=[6256.191]
global_step=129999, episodic_return=[6222.9644]
global_step=130999, episodic_return=[6169.3965]
global_step=131999, episodic_return=[6132.1597]
global_step=132999, episodic_return=[6321.709]
global_step=133999, episodic_return=[6282.9614]
global_step=134999, episodic_return=[6191.1035]
global_step=135999, episodic_return=[6269.568]
global_step=136999, episodic_return=[6236.036]
global_step=137999, episodic_return=[5947.33]
global_step=138999, episodic_return=[6160.3394]
global_step=139999, episodic_return=[6214.041]
global_step=140999, episodic_return=[6363.08]
global_step=141999, episodic_return=[6314.6025]
global_step=142999, episodic_return=[5329.814]
global_step=143999, episodic_return=[6471.2085]
global_step=144999, episodic_return=[6373.628]
global_step=145999, episodic_return=[6261.252]
global_step=146999, episodic_return=[6317.4155]
global_step=147999, episodic_return=[6433.649]
global_step=148999, episodic_return=[6465.677]
global_step=149999, episodic_return=[6547.292]
global_step=150999, episodic_return=[6516.448]
global_step=151999, episodic_return=[6612.013]
global_step=152999, episodic_return=[6400.949]
global_step=153999, episodic_return=[6531.386]
global_step=154999, episodic_return=[6581.1997]
global_step=155999, episodic_return=[6258.504]
global_step=156999, episodic_return=[6416.8794]
global_step=157999, episodic_return=[6510.7935]
global_step=158999, episodic_return=[6461.287]
global_step=159999, episodic_return=[6654.685]
global_step=160999, episodic_return=[5567.4062]
global_step=161999, episodic_return=[6513.3765]
global_step=162999, episodic_return=[6792.7197]
global_step=163999, episodic_return=[6624.621]
global_step=164999, episodic_return=[6804.264]
global_step=165999, episodic_return=[6682.1533]
global_step=166999, episodic_return=[6661.952]
global_step=167999, episodic_return=[6704.2427]
global_step=168999, episodic_return=[6874.2607]
global_step=169999, episodic_return=[6812.68]
global_step=170999, episodic_return=[6715.8877]
global_step=171999, episodic_return=[6785.012]
global_step=172999, episodic_return=[6676.352]
global_step=173999, episodic_return=[6677.354]
global_step=174999, episodic_return=[6858.2407]
global_step=175999, episodic_return=[6932.5864]
global_step=176999, episodic_return=[6703.429]
global_step=177999, episodic_return=[6806.2246]
global_step=178999, episodic_return=[6815.5728]
global_step=179999, episodic_return=[6918.866]
global_step=180999, episodic_return=[6859.9263]
global_step=181999, episodic_return=[6881.497]
global_step=182999, episodic_return=[6915.3975]
global_step=183999, episodic_return=[6642.796]
global_step=184999, episodic_return=[6913.1323]
global_step=185999, episodic_return=[6916.957]
global_step=186999, episodic_return=[7008.562]
global_step=187999, episodic_return=[6710.507]
global_step=188999, episodic_return=[7022.78]
global_step=189999, episodic_return=[6861.332]
global_step=190999, episodic_return=[7048.8696]
global_step=191999, episodic_return=[6943.0176]
global_step=192999, episodic_return=[6989.557]
global_step=193999, episodic_return=[7160.0664]
global_step=194999, episodic_return=[6942.6006]
global_step=195999, episodic_return=[6937.9434]
global_step=196999, episodic_return=[7064.946]
global_step=197999, episodic_return=[6924.782]
global_step=198999, episodic_return=[7106.1733]
global_step=199999, episodic_return=[7270.294]
global_step=200999, episodic_return=[7088.68]
global_step=201999, episodic_return=[7027.8735]
global_step=202999, episodic_return=[7136.5273]
global_step=203999, episodic_return=[6957.179]
global_step=204999, episodic_return=[7006.7935]
global_step=205999, episodic_return=[6964.7886]
global_step=206999, episodic_return=[7181.424]
global_step=207999, episodic_return=[7016.4863]
global_step=208999, episodic_return=[7147.06]
global_step=209999, episodic_return=[6867.8477]
global_step=210999, episodic_return=[7040.9644]
global_step=211999, episodic_return=[7125.229]
global_step=212999, episodic_return=[7188.2607]
global_step=213999, episodic_return=[7237.3633]
global_step=214999, episodic_return=[7183.243]
global_step=215999, episodic_return=[7312.8613]
global_step=216999, episodic_return=[7197.0503]
global_step=217999, episodic_return=[7332.184]
global_step=218999, episodic_return=[7284.267]
global_step=219999, episodic_return=[7170.4175]
global_step=220999, episodic_return=[7037.5854]
global_step=221999, episodic_return=[7202.522]
global_step=222999, episodic_return=[7217.197]
global_step=223999, episodic_return=[7286.1846]
global_step=224999, episodic_return=[963.0877]
global_step=225999, episodic_return=[7345.8643]
global_step=226999, episodic_return=[7265.172]
global_step=227999, episodic_return=[7343.991]
global_step=228999, episodic_return=[7355.19]
global_step=229999, episodic_return=[7152.72]
global_step=230999, episodic_return=[7221.8354]
global_step=231999, episodic_return=[7171.774]
global_step=232999, episodic_return=[7348.3965]
global_step=233999, episodic_return=[7140.93]
global_step=234999, episodic_return=[7301.104]
global_step=235999, episodic_return=[7388.5825]
global_step=236999, episodic_return=[7524.0483]
global_step=237999, episodic_return=[7401.1987]
global_step=238999, episodic_return=[7419.959]
global_step=239999, episodic_return=[7164.8804]
global_step=240999, episodic_return=[7410.4644]
global_step=241999, episodic_return=[7260.5635]
global_step=242999, episodic_return=[7282.562]
global_step=243999, episodic_return=[7320.678]
global_step=244999, episodic_return=[7450.05]
global_step=245999, episodic_return=[7565.5654]
global_step=246999, episodic_return=[7452.7896]
global_step=247999, episodic_return=[7406.0454]
global_step=248999, episodic_return=[7530.2715]
global_step=249999, episodic_return=[7597.9497]
global_step=250999, episodic_return=[7236.6377]
global_step=251999, episodic_return=[7535.2695]
global_step=252999, episodic_return=[7572.4653]
global_step=253999, episodic_return=[7576.056]
global_step=254999, episodic_return=[7463.0464]
global_step=255999, episodic_return=[7642.0166]
global_step=256999, episodic_return=[7412.732]
global_step=257999, episodic_return=[7412.293]
global_step=258999, episodic_return=[7700.258]
global_step=259999, episodic_return=[7618.39]
global_step=260999, episodic_return=[7458.3584]
global_step=261999, episodic_return=[7515.189]
global_step=262999, episodic_return=[7544.991]
global_step=263999, episodic_return=[7350.6797]
global_step=264999, episodic_return=[7515.766]
global_step=265999, episodic_return=[7640.661]
global_step=266999, episodic_return=[7628.6934]
global_step=267999, episodic_return=[7481.492]
global_step=268999, episodic_return=[7500.161]
global_step=269999, episodic_return=[7497.4155]
global_step=270999, episodic_return=[7610.731]
global_step=271999, episodic_return=[7611.681]
global_step=272999, episodic_return=[7668.777]
global_step=273999, episodic_return=[7502.7993]
global_step=274999, episodic_return=[7563.861]
global_step=275999, episodic_return=[7482.9478]
global_step=276999, episodic_return=[7594.347]
global_step=277999, episodic_return=[7454.648]
global_step=278999, episodic_return=[7467.41]
global_step=279999, episodic_return=[7616.526]
global_step=280999, episodic_return=[7463.5117]
global_step=281999, episodic_return=[7755.612]
global_step=282999, episodic_return=[7581.333]
global_step=283999, episodic_return=[7542.576]
global_step=284999, episodic_return=[7534.6187]
global_step=285999, episodic_return=[7665.5244]
global_step=286999, episodic_return=[7699.358]
global_step=287999, episodic_return=[7632.2393]
global_step=288999, episodic_return=[7696.0127]
global_step=289999, episodic_return=[7628.4443]
global_step=290999, episodic_return=[7774.427]
global_step=291999, episodic_return=[7636.6577]
