True
global_step=20, episodic_return=[9.743207]
global_step=41, episodic_return=[13.053923]
global_step=51, episodic_return=[7.0185375]
global_step=84, episodic_return=[17.746426]
global_step=102, episodic_return=[13.449911]
global_step=124, episodic_return=[21.718327]
global_step=143, episodic_return=[15.66314]
global_step=164, episodic_return=[15.915676]
global_step=182, episodic_return=[16.365208]
global_step=202, episodic_return=[19.162613]
global_step=232, episodic_return=[21.446669]
global_step=249, episodic_return=[14.272903]
global_step=270, episodic_return=[13.315437]
global_step=337, episodic_return=[84.09964]
global_step=374, episodic_return=[25.23187]
global_step=383, episodic_return=[6.6274767]
global_step=404, episodic_return=[21.088638]
global_step=417, episodic_return=[10.663116]
global_step=432, episodic_return=[11.974097]
global_step=449, episodic_return=[16.794336]
global_step=519, episodic_return=[120.20247]
global_step=533, episodic_return=[9.756419]
global_step=569, episodic_return=[19.970491]
global_step=631, episodic_return=[82.45947]
global_step=690, episodic_return=[58.503242]
global_step=730, episodic_return=[61.76531]
global_step=746, episodic_return=[14.879963]
global_step=777, episodic_return=[18.53827]
global_step=790, episodic_return=[9.731089]
global_step=819, episodic_return=[33.228184]
global_step=829, episodic_return=[6.7536473]
global_step=857, episodic_return=[20.590612]
global_step=873, episodic_return=[16.341654]
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=885, episodic_return=[10.335298]
global_step=897, episodic_return=[9.546055]
global_step=909, episodic_return=[7.956952]
