/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=28, episodic_return=[18.70992]
global_step=52, episodic_return=[8.522794]
global_step=67, episodic_return=[11.066098]
global_step=88, episodic_return=[15.893126]
global_step=120, episodic_return=[12.346406]
global_step=137, episodic_return=[17.63927]
global_step=170, episodic_return=[16.90019]
global_step=197, episodic_return=[32.038364]
global_step=209, episodic_return=[8.944793]
global_step=225, episodic_return=[11.900305]
global_step=295, episodic_return=[130.20152]
global_step=316, episodic_return=[17.680454]
global_step=333, episodic_return=[12.538715]
global_step=353, episodic_return=[8.789815]
global_step=413, episodic_return=[95.86802]
global_step=431, episodic_return=[11.8597555]
global_step=445, episodic_return=[10.048972]
global_step=480, episodic_return=[8.20218]
global_step=499, episodic_return=[12.489614]
global_step=519, episodic_return=[12.136947]
global_step=539, episodic_return=[17.64941]
global_step=550, episodic_return=[7.2100983]
global_step=564, episodic_return=[9.064455]
global_step=590, episodic_return=[16.29898]
global_step=637, episodic_return=[56.21425]
global_step=649, episodic_return=[10.62059]
global_step=670, episodic_return=[12.818193]
global_step=683, episodic_return=[11.3336735]
global_step=695, episodic_return=[9.231798]
global_step=710, episodic_return=[14.48316]
global_step=727, episodic_return=[8.5798645]
global_step=744, episodic_return=[11.999044]
global_step=773, episodic_return=[24.655548]
global_step=799, episodic_return=[25.316177]
global_step=813, episodic_return=[8.447597]
global_step=828, episodic_return=[9.307994]
global_step=838, episodic_return=[8.276738]
global_step=861, episodic_return=[11.465062]
global_step=876, episodic_return=[14.250221]
global_step=888, episodic_return=[9.514399]
global_step=907, episodic_return=[17.504192]
global_step=926, episodic_return=[14.319147]
global_step=941, episodic_return=[14.246995]
global_step=974, episodic_return=[10.317201]
global_step=995, episodic_return=[22.721327]
global_step=1012, episodic_return=[16.139366]
global_step=1027, episodic_return=[9.86545]
global_step=1043, episodic_return=[14.685843]
global_step=1055, episodic_return=[9.800316]
global_step=1078, episodic_return=[16.036156]
global_step=1091, episodic_return=[11.336167]
global_step=1104, episodic_return=[9.424179]
global_step=1128, episodic_return=[12.21216]
global_step=1145, episodic_return=[14.52029]
global_step=1171, episodic_return=[17.918083]
global_step=1193, episodic_return=[8.916697]
global_step=1240, episodic_return=[48.944473]
global_step=1253, episodic_return=[10.457354]
global_step=1277, episodic_return=[13.556193]
global_step=1295, episodic_return=[12.995284]
global_step=1344, episodic_return=[29.897627]
global_step=1363, episodic_return=[14.495789]
global_step=1385, episodic_return=[13.317482]
global_step=1397, episodic_return=[10.076296]
global_step=1443, episodic_return=[49.989155]
global_step=1456, episodic_return=[8.228434]
global_step=1481, episodic_return=[21.22547]
global_step=1516, episodic_return=[47.259003]
global_step=1534, episodic_return=[10.724313]
global_step=1564, episodic_return=[12.415262]
global_step=1585, episodic_return=[19.813051]
global_step=1618, episodic_return=[31.839575]
global_step=1635, episodic_return=[15.380767]
global_step=1657, episodic_return=[12.109926]
global_step=1670, episodic_return=[8.896237]
global_step=1692, episodic_return=[21.694973]
global_step=1711, episodic_return=[14.83741]
global_step=1730, episodic_return=[15.791004]
global_step=1747, episodic_return=[10.703895]
global_step=1768, episodic_return=[12.681029]
global_step=1786, episodic_return=[16.551928]
global_step=1804, episodic_return=[15.717553]
global_step=1819, episodic_return=[14.227385]
global_step=1838, episodic_return=[10.83034]
global_step=1853, episodic_return=[9.489816]
global_step=1901, episodic_return=[24.07583]
global_step=1938, episodic_return=[32.43624]
global_step=1957, episodic_return=[18.279009]
global_step=1967, episodic_return=[7.072734]
global_step=1983, episodic_return=[9.84211]
