
True
global_step=19, episodic_return=[100.347404]
global_step=39, episodic_return=[100.812935]
global_step=60, episodic_return=[106.112495]
global_step=82, episodic_return=[112.65533]
global_step=100, episodic_return=[88.59214]
global_step=117, episodic_return=[83.72716]
global_step=137, episodic_return=[99.029884]
global_step=154, episodic_return=[83.51844]
global_step=189, episodic_return=[170.64665]
global_step=214, episodic_return=[126.376976]
global_step=233, episodic_return=[96.79083]
global_step=253, episodic_return=[101.29265]
global_step=270, episodic_return=[83.51187]
global_step=290, episodic_return=[99.66159]
global_step=309, episodic_return=[94.74268]
global_step=327, episodic_return=[88.58366]
global_step=350, episodic_return=[118.220314]
global_step=371, episodic_return=[106.04003]
global_step=397, episodic_return=[132.59792]
global_step=429, episodic_return=[153.40417]
global_step=448, episodic_return=[94.860634]
global_step=484, episodic_return=[170.70557]
global_step=515, episodic_return=[153.37047]
global_step=542, episodic_return=[132.71065]
global_step=564, episodic_return=[110.327644]
global_step=582, episodic_return=[90.49055]
global_step=607, episodic_return=[122.596535]
global_step=643, episodic_return=[186.1333]
global_step=663, episodic_return=[101.91029]
global_step=693, episodic_return=[154.46817]
global_step=713, episodic_return=[99.1292]
global_step=731, episodic_return=[89.50505]
global_step=754, episodic_return=[116.86578]
global_step=775, episodic_return=[106.126854]
global_step=794, episodic_return=[94.63]
global_step=815, episodic_return=[106.86552]
global_step=863, episodic_return=[246.23677]
global_step=882, episodic_return=[96.41453]
global_step=902, episodic_return=[100.47802]
global_step=923, episodic_return=[105.70006]
/Tmp/slurm.4460040.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4460040.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4460040.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4460040.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=953, episodic_return=[157.0276]
global_step=974, episodic_return=[107.21561]
global_step=1012, episodic_return=[196.20743]
global_step=1034, episodic_return=[111.19729]
global_step=1053, episodic_return=[94.17223]
global_step=1078, episodic_return=[127.761284]
global_step=1101, episodic_return=[115.49649]
global_step=1131, episodic_return=[158.22395]
global_step=1160, episodic_return=[145.0628]
global_step=1187, episodic_return=[131.67345]
global_step=1259, episodic_return=[372.15677]
global_step=1286, episodic_return=[134.30515]
global_step=1306, episodic_return=[101.910484]
global_step=1325, episodic_return=[95.64234]
global_step=1353, episodic_return=[145.21417]
global_step=1383, episodic_return=[155.27557]
global_step=1403, episodic_return=[101.979454]
global_step=1425, episodic_return=[112.51072]
global_step=1451, episodic_return=[132.40218]
global_step=1468, episodic_return=[83.49696]
global_step=1487, episodic_return=[94.93736]
global_step=1507, episodic_return=[102.590485]
global_step=1528, episodic_return=[105.50854]
global_step=1563, episodic_return=[163.22034]
global_step=1583, episodic_return=[100.03384]
global_step=1610, episodic_return=[138.41205]
global_step=1628, episodic_return=[89.825745]
global_step=1647, episodic_return=[96.75115]
global_step=1665, episodic_return=[88.557785]
global_step=1683, episodic_return=[91.141335]
global_step=1701, episodic_return=[90.08964]
global_step=1720, episodic_return=[95.23011]
global_step=1744, episodic_return=[122.089195]
global_step=1762, episodic_return=[88.88561]
global_step=1793, episodic_return=[157.83879]
global_step=1828, episodic_return=[167.2264]
global_step=1848, episodic_return=[101.71755]
global_step=1870, episodic_return=[110.92977]
global_step=1894, episodic_return=[121.31573]
global_step=1912, episodic_return=[89.04808]
global_step=1933, episodic_return=[107.3645]
global_step=1960, episodic_return=[134.04228]
global_step=1988, episodic_return=[137.77847]
global_step=2006, episodic_return=[89.668045]
global_step=2037, episodic_return=[160.20197]
global_step=2065, episodic_return=[139.4619]
global_step=2083, episodic_return=[88.4183]
global_step=2104, episodic_return=[105.25711]
global_step=2125, episodic_return=[106.99589]
global_step=2144, episodic_return=[95.642044]
global_step=2175, episodic_return=[161.48114]
global_step=2199, episodic_return=[123.64939]
global_step=2229, episodic_return=[149.09087]
global_step=2258, episodic_return=[143.57529]
global_step=2279, episodic_return=[106.307526]
global_step=2303, episodic_return=[124.67604]
global_step=2345, episodic_return=[209.38141]
global_step=2364, episodic_return=[95.177574]
global_step=2386, episodic_return=[111.04777]
global_step=2419, episodic_return=[166.58661]
global_step=2445, episodic_return=[131.80618]
global_step=2477, episodic_return=[160.60185]
global_step=2518, episodic_return=[210.78473]
global_step=2538, episodic_return=[100.53261]
global_step=2555, episodic_return=[83.4892]
global_step=2581, episodic_return=[132.49533]
global_step=2599, episodic_return=[90.52517]
global_step=2617, episodic_return=[89.17975]
global_step=2646, episodic_return=[150.5376]
global_step=2665, episodic_return=[95.92728]
global_step=2688, episodic_return=[117.88549]
global_step=2706, episodic_return=[90.54419]
global_step=2729, episodic_return=[116.6406]
global_step=2749, episodic_return=[101.457825]
global_step=2769, episodic_return=[101.81694]
global_step=2791, episodic_return=[111.26152]
global_step=2811, episodic_return=[100.93091]
global_step=2833, episodic_return=[111.70149]
global_step=2865, episodic_return=[165.01678]
global_step=2895, episodic_return=[154.1841]
global_step=2913, episodic_return=[88.89777]
global_step=2939, episodic_return=[131.71715]
global_step=2972, episodic_return=[160.56006]
global_step=3011, episodic_return=[198.94666]
global_step=3032, episodic_return=[107.040794]
global_step=3080, episodic_return=[248.18736]
global_step=3104, episodic_return=[118.9581]
global_step=3125, episodic_return=[107.09276]
global_step=3147, episodic_return=[112.25153]
global_step=3174, episodic_return=[137.39809]
global_step=3196, episodic_return=[109.51808]
global_step=3214, episodic_return=[89.21376]
global_step=3235, episodic_return=[106.09145]
global_step=3254, episodic_return=[94.86635]
global_step=3272, episodic_return=[89.903534]
global_step=3300, episodic_return=[140.7714]
global_step=3318, episodic_return=[88.99532]
global_step=3335, episodic_return=[83.40801]
global_step=3361, episodic_return=[130.31615]
global_step=3385, episodic_return=[123.040535]
global_step=3422, episodic_return=[179.12529]
global_step=3442, episodic_return=[101.827126]
global_step=3469, episodic_return=[133.95227]
global_step=3505, episodic_return=[179.35614]
global_step=3523, episodic_return=[88.657005]
global_step=3550, episodic_return=[138.05255]
global_step=3569, episodic_return=[94.59638]
global_step=3587, episodic_return=[88.99912]
global_step=3621, episodic_return=[154.46767]
global_step=3644, episodic_return=[114.86145]
global_step=3676, episodic_return=[162.0055]
global_step=3705, episodic_return=[146.5569]
global_step=3730, episodic_return=[127.788734]
global_step=3748, episodic_return=[89.41959]
global_step=3781, episodic_return=[166.04707]
global_step=3811, episodic_return=[141.32402]
global_step=3837, episodic_return=[132.37848]
global_step=3863, episodic_return=[129.39676]
global_step=3898, episodic_return=[176.7589]
global_step=3915, episodic_return=[83.53483]
global_step=3934, episodic_return=[94.98374]
global_step=3957, episodic_return=[111.13051]
global_step=3988, episodic_return=[154.82166]
global_step=4006, episodic_return=[88.83498]
global_step=4033, episodic_return=[134.75186]
global_step=4050, episodic_return=[83.701256]
global_step=4079, episodic_return=[140.91623]
global_step=4101, episodic_return=[109.99468]
global_step=4127, episodic_return=[131.4712]
global_step=4162, episodic_return=[175.6835]
global_step=4194, episodic_return=[166.84894]
global_step=4220, episodic_return=[131.0909]
global_step=4238, episodic_return=[88.42922]
global_step=4270, episodic_return=[158.89467]
global_step=4287, episodic_return=[83.4566]
global_step=4309, episodic_return=[111.43865]
global_step=4341, episodic_return=[148.3749]
global_step=4363, episodic_return=[110.10007]
global_step=4392, episodic_return=[147.5525]
global_step=4429, episodic_return=[187.28566]
global_step=4447, episodic_return=[89.83178]
global_step=4469, episodic_return=[110.4663]
global_step=4487, episodic_return=[88.825676]
global_step=4505, episodic_return=[88.30578]
global_step=4526, episodic_return=[106.548965]
global_step=4554, episodic_return=[144.0482]
global_step=4576, episodic_return=[113.6611]
global_step=4593, episodic_return=[83.70336]
global_step=4631, episodic_return=[187.80487]
global_step=4653, episodic_return=[112.393906]
global_step=4701, episodic_return=[250.54774]
global_step=4722, episodic_return=[107.36054]
global_step=4748, episodic_return=[133.03696]
global_step=4766, episodic_return=[88.45261]
global_step=4785, episodic_return=[95.07318]
global_step=4814, episodic_return=[149.73604]
global_step=4834, episodic_return=[101.4561]
global_step=4856, episodic_return=[111.873665]
global_step=4882, episodic_return=[133.75354]
global_step=4902, episodic_return=[99.70978]
global_step=4925, episodic_return=[118.09206]
global_step=4943, episodic_return=[88.94946]
global_step=4978, episodic_return=[174.27893]
global_step=5003, episodic_return=[124.45144]
global_step=5022, episodic_return=[95.126175]
global_step=5053, episodic_return=[154.04225]
global_step=5097, episodic_return=[220.07382]
global_step=5116, episodic_return=[94.928986]
global_step=5133, episodic_return=[83.36683]
global_step=5155, episodic_return=[110.86637]
global_step=5172, episodic_return=[83.39246]
global_step=5197, episodic_return=[129.45877]
global_step=5236, episodic_return=[199.51494]
global_step=5257, episodic_return=[104.85676]
global_step=5274, episodic_return=[83.16663]
global_step=5296, episodic_return=[110.996155]
global_step=5314, episodic_return=[88.26771]
global_step=5344, episodic_return=[149.37971]
global_step=5382, episodic_return=[194.71349]
global_step=5404, episodic_return=[113.38143]
global_step=5421, episodic_return=[83.46839]
global_step=5446, episodic_return=[125.62334]
global_step=5467, episodic_return=[106.153275]
global_step=5485, episodic_return=[90.17962]
global_step=5504, episodic_return=[95.40671]
global_step=5522, episodic_return=[90.32268]
global_step=5554, episodic_return=[153.70967]
global_step=5572, episodic_return=[88.406555]
global_step=5595, episodic_return=[108.04952]
global_step=5617, episodic_return=[110.57425]
global_step=5635, episodic_return=[90.1216]
global_step=5652, episodic_return=[83.67051]
global_step=5671, episodic_return=[95.13622]
global_step=5688, episodic_return=[83.458496]
global_step=5712, episodic_return=[122.891945]
global_step=5735, episodic_return=[120.74283]
global_step=5760, episodic_return=[120.60552]
global_step=5790, episodic_return=[152.33325]
global_step=5810, episodic_return=[101.736786]
global_step=5835, episodic_return=[127.401886]
global_step=5852, episodic_return=[83.70533]
global_step=5871, episodic_return=[94.59657]
global_step=5893, episodic_return=[109.751724]
global_step=5910, episodic_return=[83.2285]
global_step=5929, episodic_return=[94.75705]
global_step=5964, episodic_return=[180.50148]
global_step=6000, episodic_return=[177.78569]
global_step=6017, episodic_return=[83.22036]
global_step=6050, episodic_return=[164.41774]
global_step=6093, episodic_return=[216.44727]
global_step=6118, episodic_return=[125.7487]
global_step=6144, episodic_return=[135.33302]
global_step=6167, episodic_return=[118.800156]
global_step=6196, episodic_return=[142.84647]
global_step=6213, episodic_return=[83.581474]
global_step=6240, episodic_return=[136.39822]
global_step=6258, episodic_return=[88.80137]
global_step=6278, episodic_return=[99.496056]
global_step=6310, episodic_return=[152.63922]
global_step=6327, episodic_return=[83.230225]
global_step=6345, episodic_return=[89.179535]
global_step=6365, episodic_return=[99.997955]
global_step=6400, episodic_return=[168.33522]
global_step=6437, episodic_return=[190.22116]
global_step=6461, episodic_return=[124.08345]
global_step=6494, episodic_return=[168.39465]
global_step=6520, episodic_return=[128.99324]
global_step=6539, episodic_return=[94.26256]
global_step=6558, episodic_return=[94.32239]
