True
global_step=15, episodic_return=[78.82349]
global_step=38, episodic_return=[115.82752]
global_step=64, episodic_return=[134.23412]
global_step=82, episodic_return=[89.322784]
global_step=112, episodic_return=[155.00476]
global_step=149, episodic_return=[178.32664]
global_step=167, episodic_return=[89.19084]
global_step=185, episodic_return=[89.0219]
global_step=204, episodic_return=[93.7282]
global_step=224, episodic_return=[100.4312]
global_step=242, episodic_return=[89.45465]
global_step=298, episodic_return=[299.07272]
global_step=328, episodic_return=[153.36092]
global_step=346, episodic_return=[88.64742]
global_step=369, episodic_return=[118.960495]
global_step=391, episodic_return=[111.67609]
global_step=416, episodic_return=[125.352394]
global_step=442, episodic_return=[134.13007]
global_step=474, episodic_return=[162.65263]
global_step=497, episodic_return=[114.440895]
global_step=524, episodic_return=[130.34721]
global_step=541, episodic_return=[84.13403]
global_step=566, episodic_return=[129.18852]
global_step=590, episodic_return=[123.935265]
global_step=615, episodic_return=[127.44684]
global_step=640, episodic_return=[127.44629]
global_step=664, episodic_return=[121.8021]
global_step=693, episodic_return=[149.20253]
global_step=711, episodic_return=[88.53186]
global_step=734, episodic_return=[118.346085]
global_step=751, episodic_return=[83.67386]
global_step=776, episodic_return=[128.36537]
global_step=801, episodic_return=[127.14501]
global_step=821, episodic_return=[100.610825]
global_step=853, episodic_return=[159.32661]
global_step=882, episodic_return=[150.54716]
global_step=913, episodic_return=[158.14551]
global_step=933, episodic_return=[99.41743]
global_step=962, episodic_return=[150.53813]
/Tmp/slurm.4462139.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4462139.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4462139.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4462139.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=983, episodic_return=[107.51045]
global_step=1005, episodic_return=[109.5174]
global_step=1034, episodic_return=[139.7519]
global_step=1076, episodic_return=[223.68854]
global_step=1102, episodic_return=[132.706]
global_step=1127, episodic_return=[125.24602]
global_step=1143, episodic_return=[78.53374]
global_step=1160, episodic_return=[83.53705]
global_step=1202, episodic_return=[220.28033]
global_step=1241, episodic_return=[196.61736]
global_step=1263, episodic_return=[110.06224]
global_step=1281, episodic_return=[88.479614]
global_step=1299, episodic_return=[89.41219]
global_step=1327, episodic_return=[142.07912]
global_step=1362, episodic_return=[172.98055]
global_step=1382, episodic_return=[98.429665]
global_step=1408, episodic_return=[134.04768]
global_step=1427, episodic_return=[94.458984]
global_step=1454, episodic_return=[138.0181]
global_step=1473, episodic_return=[94.797676]
global_step=1499, episodic_return=[137.25722]
global_step=1522, episodic_return=[117.75905]
global_step=1547, episodic_return=[123.28186]
global_step=1571, episodic_return=[122.73754]
global_step=1589, episodic_return=[88.63426]
global_step=1606, episodic_return=[83.77746]
global_step=1624, episodic_return=[88.75471]
global_step=1643, episodic_return=[95.14483]
global_step=1671, episodic_return=[140.48248]
global_step=1692, episodic_return=[107.26262]
global_step=1709, episodic_return=[83.73632]
global_step=1728, episodic_return=[96.30836]
global_step=1762, episodic_return=[173.38103]
global_step=1785, episodic_return=[118.89132]
global_step=1814, episodic_return=[146.5962]
global_step=1836, episodic_return=[111.843124]
global_step=1855, episodic_return=[95.60908]
global_step=1884, episodic_return=[142.68013]
global_step=1902, episodic_return=[89.03944]
global_step=1929, episodic_return=[138.4702]
global_step=1958, episodic_return=[148.0679]
global_step=1982, episodic_return=[122.18087]
global_step=2015, episodic_return=[167.35133]
global_step=2035, episodic_return=[102.86835]
global_step=2055, episodic_return=[99.30657]
global_step=2090, episodic_return=[164.52318]
global_step=2109, episodic_return=[96.08724]
global_step=2129, episodic_return=[100.36148]
global_step=2168, episodic_return=[196.76248]
global_step=2186, episodic_return=[90.11183]
global_step=2205, episodic_return=[95.062584]
global_step=2225, episodic_return=[100.79589]
global_step=2251, episodic_return=[134.94778]
global_step=2268, episodic_return=[83.60221]
global_step=2285, episodic_return=[83.44328]
global_step=2328, episodic_return=[214.591]
global_step=2345, episodic_return=[83.7775]
global_step=2382, episodic_return=[176.98047]
global_step=2400, episodic_return=[88.488106]
global_step=2427, episodic_return=[136.16483]
global_step=2446, episodic_return=[95.21426]
global_step=2466, episodic_return=[101.439384]
global_step=2486, episodic_return=[101.16625]
global_step=2525, episodic_return=[198.21468]
global_step=2557, episodic_return=[157.87022]
global_step=2581, episodic_return=[124.55068]
global_step=2600, episodic_return=[94.58339]
global_step=2618, episodic_return=[88.56402]
global_step=2638, episodic_return=[102.210724]
global_step=2679, episodic_return=[212.85103]
global_step=2701, episodic_return=[110.53246]
global_step=2741, episodic_return=[195.91595]
global_step=2765, episodic_return=[121.34369]
global_step=2783, episodic_return=[88.65393]
global_step=2800, episodic_return=[83.962585]
global_step=2819, episodic_return=[96.26779]
global_step=2866, episodic_return=[235.86884]
global_step=2894, episodic_return=[144.83435]
global_step=2919, episodic_return=[123.27332]
global_step=2936, episodic_return=[83.45995]
global_step=2953, episodic_return=[83.36029]
global_step=2979, episodic_return=[133.6119]
global_step=2999, episodic_return=[101.1923]
global_step=3016, episodic_return=[83.701004]
global_step=3042, episodic_return=[134.0747]
global_step=3061, episodic_return=[94.712006]
