/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=15, episodic_return=[78.70157]
global_step=37, episodic_return=[110.65473]
global_step=63, episodic_return=[131.96748]
global_step=83, episodic_return=[101.33308]
global_step=110, episodic_return=[142.42136]
global_step=137, episodic_return=[129.67761]
global_step=161, episodic_return=[122.34167]
global_step=180, episodic_return=[96.45241]
global_step=198, episodic_return=[88.09573]
global_step=221, episodic_return=[110.79474]
global_step=246, episodic_return=[128.47084]
global_step=278, episodic_return=[164.77635]
global_step=307, episodic_return=[145.32465]
global_step=329, episodic_return=[107.34617]
global_step=346, episodic_return=[83.47771]
global_step=367, episodic_return=[107.52704]
global_step=394, episodic_return=[138.6446]
global_step=442, episodic_return=[253.59865]
global_step=474, episodic_return=[162.18912]
global_step=496, episodic_return=[109.18035]
global_step=515, episodic_return=[94.18247]
global_step=534, episodic_return=[94.765175]
global_step=554, episodic_return=[100.19928]
global_step=575, episodic_return=[107.69375]
global_step=595, episodic_return=[100.188614]
global_step=614, episodic_return=[94.5438]
global_step=634, episodic_return=[100.0386]
global_step=651, episodic_return=[83.567635]
global_step=668, episodic_return=[83.41139]
global_step=689, episodic_return=[107.596855]
global_step=711, episodic_return=[112.24341]
global_step=733, episodic_return=[112.21609]
global_step=750, episodic_return=[83.17372]
global_step=772, episodic_return=[111.14772]
global_step=807, episodic_return=[173.24948]
global_step=833, episodic_return=[135.86034]
global_step=852, episodic_return=[94.67479]
global_step=881, episodic_return=[147.07729]
global_step=902, episodic_return=[106.55744]
global_step=921, episodic_return=[95.433556]
global_step=941, episodic_return=[101.117676]
global_step=962, episodic_return=[106.18624]
global_step=983, episodic_return=[107.366806]
global_step=1004, episodic_return=[103.78245]
global_step=1034, episodic_return=[143.2494]
global_step=1067, episodic_return=[173.07549]
global_step=1096, episodic_return=[148.43918]
global_step=1128, episodic_return=[159.83804]
global_step=1144, episodic_return=[78.3717]
global_step=1161, episodic_return=[83.63015]
global_step=1183, episodic_return=[113.04218]
global_step=1212, episodic_return=[142.96483]
global_step=1233, episodic_return=[108.7729]
global_step=1257, episodic_return=[123.56334]
global_step=1275, episodic_return=[89.10876]
global_step=1304, episodic_return=[142.3276]
global_step=1322, episodic_return=[89.427055]
global_step=1358, episodic_return=[182.8605]
global_step=1378, episodic_return=[97.60981]
global_step=1406, episodic_return=[142.4796]
global_step=1424, episodic_return=[88.78761]
global_step=1445, episodic_return=[106.79493]
global_step=1465, episodic_return=[100.75141]
global_step=1484, episodic_return=[95.90204]
global_step=1505, episodic_return=[106.804146]
global_step=1529, episodic_return=[119.92864]
global_step=1546, episodic_return=[83.18671]
global_step=1569, episodic_return=[116.623085]
global_step=1587, episodic_return=[88.58834]
global_step=1604, episodic_return=[83.71091]
global_step=1622, episodic_return=[88.41998]
global_step=1643, episodic_return=[106.2836]
global_step=1671, episodic_return=[140.6937]
global_step=1691, episodic_return=[100.18411]
global_step=1708, episodic_return=[83.376175]
global_step=1731, episodic_return=[118.421524]
global_step=1763, episodic_return=[158.81883]
global_step=1783, episodic_return=[101.164154]
global_step=1801, episodic_return=[87.816055]
global_step=1843, episodic_return=[203.41554]
global_step=1862, episodic_return=[94.4865]
global_step=1880, episodic_return=[89.53445]
global_step=1910, episodic_return=[153.71254]
global_step=1927, episodic_return=[83.537125]
global_step=1958, episodic_return=[157.14177]
global_step=1981, episodic_return=[117.29855]
global_step=2000, episodic_return=[95.864746]
global_step=2017, episodic_return=[83.29278]
global_step=2037, episodic_return=[103.4703]
global_step=2057, episodic_return=[100.21226]
