True
global_step=999, episodic_return=[31336.598]
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1999, episodic_return=[32865.3]
global_step=2999, episodic_return=[31744.426]
global_step=3999, episodic_return=[33795.6]
global_step=4999, episodic_return=[29662.572]
wandb: WARNING Step cannot be set when using syncing with tensorboard. Please log your step values as a metric such as 'global_step'
global_step=5999, episodic_return=[40778.234]
global_step=6999, episodic_return=[53665.656]
global_step=7999, episodic_return=[98895.24]
global_step=8999, episodic_return=[110992.37]
global_step=9999, episodic_return=[83835.59]
global_step=10999, episodic_return=[98227.2]
global_step=11999, episodic_return=[122773.47]
global_step=12999, episodic_return=[122441.79]
global_step=13999, episodic_return=[122434.336]
global_step=14999, episodic_return=[93757.586]
global_step=15999, episodic_return=[73803.89]
global_step=16999, episodic_return=[93174.52]
global_step=17999, episodic_return=[51677.46]
global_step=18999, episodic_return=[72905.74]
global_step=19999, episodic_return=[121116.305]
global_step=20999, episodic_return=[122673.695]
global_step=21999, episodic_return=[123966.55]
global_step=22999, episodic_return=[124665.65]
global_step=23999, episodic_return=[125965.57]
global_step=24999, episodic_return=[127029.62]
global_step=25999, episodic_return=[118355.58]
global_step=26999, episodic_return=[127436.64]
global_step=27999, episodic_return=[125936.82]
global_step=28999, episodic_return=[126191.97]
global_step=29999, episodic_return=[121907.66]
