True
global_step=21, episodic_return=[7.8617773]
global_step=37, episodic_return=[3.690341]
global_step=72, episodic_return=[-3.565484]
global_step=92, episodic_return=[4.78304]
global_step=123, episodic_return=[18.667627]
global_step=133, episodic_return=[-2.9495223]
global_step=158, episodic_return=[-0.26480293]
global_step=186, episodic_return=[4.514156]
global_step=199, episodic_return=[1.6127985]
global_step=213, episodic_return=[-1.5114868]
global_step=239, episodic_return=[11.963325]
global_step=267, episodic_return=[4.9463744]
global_step=278, episodic_return=[0.50890183]
global_step=309, episodic_return=[7.534108]
global_step=324, episodic_return=[1.8086951]
global_step=337, episodic_return=[0.72098815]
global_step=359, episodic_return=[-9.025025]
global_step=378, episodic_return=[6.0367637]
global_step=405, episodic_return=[-2.4402254]
global_step=426, episodic_return=[7.0029955]
global_step=448, episodic_return=[9.75021]
global_step=459, episodic_return=[0.8498062]
global_step=477, episodic_return=[3.026121]
global_step=487, episodic_return=[-1.6559091]
global_step=516, episodic_return=[-0.81498885]
global_step=532, episodic_return=[1.5313389]
global_step=558, episodic_return=[3.155208]
global_step=602, episodic_return=[25.379223]
global_step=629, episodic_return=[7.5405855]
global_step=645, episodic_return=[1.1360892]
global_step=665, episodic_return=[2.1319098]
global_step=693, episodic_return=[2.857012]
global_step=710, episodic_return=[1.0956213]
global_step=728, episodic_return=[3.389139]
global_step=744, episodic_return=[-4.662581]
global_step=766, episodic_return=[-2.2994654]
global_step=778, episodic_return=[-0.11446573]
global_step=796, episodic_return=[4.0999894]
global_step=807, episodic_return=[0.01671356]
global_step=829, episodic_return=[1.9734812]
global_step=852, episodic_return=[-3.0857313]
global_step=866, episodic_return=[-0.7559306]
global_step=873, episodic_return=[-4.2828465]
global_step=901, episodic_return=[14.063776]
global_step=919, episodic_return=[0.92702335]
global_step=929, episodic_return=[-1.6923425]
global_step=943, episodic_return=[2.6087325]
global_step=974, episodic_return=[12.335469]
global_step=988, episodic_return=[-3.9664636]
global_step=1008, episodic_return=[0.42327964]
global_step=1017, episodic_return=[-2.0338297]
global_step=1026, episodic_return=[-3.0055518]
global_step=1039, episodic_return=[1.7496712]
global_step=1054, episodic_return=[1.0957808]
global_step=1075, episodic_return=[7.272273]
global_step=1104, episodic_return=[5.5963993]
global_step=1129, episodic_return=[-2.2839088]
global_step=1152, episodic_return=[3.9675376]
global_step=1184, episodic_return=[8.707339]
global_step=1204, episodic_return=[6.533867]
global_step=1226, episodic_return=[1.7905573]
global_step=1243, episodic_return=[2.9974947]
/Tmp/slurm.4496604.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496604.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Tmp/slurm.4496604.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:135: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/Tmp/slurm.4496604.0/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:159: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=1263, episodic_return=[5.4298596]
global_step=1301, episodic_return=[3.3114736]
global_step=1314, episodic_return=[0.52863693]
