/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=20, episodic_return=[6.163445]
global_step=38, episodic_return=[3.336438]
global_step=72, episodic_return=[-2.8292968]
global_step=92, episodic_return=[3.073599]
global_step=122, episodic_return=[17.619574]
global_step=131, episodic_return=[-3.583994]
global_step=156, episodic_return=[-0.87496555]
global_step=185, episodic_return=[6.0722857]
global_step=199, episodic_return=[1.8691604]
global_step=213, episodic_return=[-1.9248359]
global_step=240, episodic_return=[12.515501]
global_step=268, episodic_return=[6.4604635]
global_step=278, episodic_return=[-0.15329404]
global_step=308, episodic_return=[6.679994]
global_step=323, episodic_return=[2.1169329]
global_step=337, episodic_return=[-0.0167519]
global_step=358, episodic_return=[-9.380997]
global_step=379, episodic_return=[2.2795978]
global_step=406, episodic_return=[-1.2562459]
global_step=425, episodic_return=[3.8589604]
global_step=446, episodic_return=[6.2106996]
global_step=460, episodic_return=[0.925976]
global_step=477, episodic_return=[5.6112256]
global_step=486, episodic_return=[-2.486794]
global_step=515, episodic_return=[0.90710986]
global_step=532, episodic_return=[-0.8153976]
global_step=557, episodic_return=[4.087703]
global_step=604, episodic_return=[20.554186]
global_step=618, episodic_return=[-1.904275]
global_step=639, episodic_return=[6.634343]
global_step=664, episodic_return=[-3.5644233]
global_step=690, episodic_return=[-5.725884]
global_step=707, episodic_return=[1.0482994]
global_step=730, episodic_return=[8.268409]
global_step=744, episodic_return=[-4.294559]
global_step=766, episodic_return=[-2.6233144]
global_step=778, episodic_return=[-0.24312147]
global_step=796, episodic_return=[3.7269022]
global_step=807, episodic_return=[-0.06240287]
global_step=829, episodic_return=[1.154734]
global_step=852, episodic_return=[-2.6043773]
global_step=865, episodic_return=[-1.2310939]
global_step=872, episodic_return=[-2.875002]
global_step=897, episodic_return=[6.542212]
global_step=917, episodic_return=[-1.9019886]
global_step=929, episodic_return=[-4.0942307]
global_step=942, episodic_return=[2.1959012]
global_step=960, episodic_return=[5.008332]
global_step=977, episodic_return=[5.7941217]
global_step=992, episodic_return=[-6.9409404]
global_step=1009, episodic_return=[4.7356195]
global_step=1017, episodic_return=[-2.4983792]
global_step=1026, episodic_return=[-3.459011]
global_step=1039, episodic_return=[1.8154886]
global_step=1054, episodic_return=[1.0859289]
global_step=1075, episodic_return=[6.6938996]
global_step=1102, episodic_return=[4.24877]
global_step=1125, episodic_return=[-1.7016351]
global_step=1152, episodic_return=[6.016712]
global_step=1174, episodic_return=[7.29026]
global_step=1194, episodic_return=[-0.29705405]
global_step=1233, episodic_return=[0.9236516]
global_step=1246, episodic_return=[-0.91633505]
global_step=1263, episodic_return=[2.1202145]
global_step=1301, episodic_return=[4.4355025]
global_step=1313, episodic_return=[0.5603644]
global_step=1324, episodic_return=[-1.1523906]
global_step=1390, episodic_return=[21.59952]
global_step=1411, episodic_return=[5.5312333]
global_step=1421, episodic_return=[-0.7204877]
global_step=1441, episodic_return=[7.4575553]
global_step=1452, episodic_return=[0.56266546]
global_step=1484, episodic_return=[9.145251]
global_step=1495, episodic_return=[1.9249461]
global_step=1528, episodic_return=[12.96657]
global_step=1565, episodic_return=[2.574644]
global_step=1593, episodic_return=[-1.4368055]
global_step=1606, episodic_return=[-0.19857058]
global_step=1623, episodic_return=[6.8082056]
global_step=1637, episodic_return=[0.03174103]
global_step=1653, episodic_return=[-1.1569606]
global_step=1665, episodic_return=[-1.5367018]
global_step=1682, episodic_return=[-3.3286607]
global_step=1693, episodic_return=[-1.9532067]
global_step=1703, episodic_return=[-0.37356013]
global_step=1732, episodic_return=[10.374018]
