/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/home/hyperpotato/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
global_step=13, episodic_return=[10.91251]
global_step=38, episodic_return=[28.610651]
global_step=75, episodic_return=[27.435326]
global_step=102, episodic_return=[5.4052234]
global_step=113, episodic_return=[7.46734]
global_step=145, episodic_return=[26.261326]
global_step=167, episodic_return=[10.343855]
global_step=208, episodic_return=[32.33264]
global_step=223, episodic_return=[15.10476]
global_step=243, episodic_return=[21.230661]
global_step=259, episodic_return=[12.994577]
global_step=276, episodic_return=[14.5620985]
global_step=288, episodic_return=[9.228593]
global_step=329, episodic_return=[38.398487]
global_step=390, episodic_return=[67.848305]
global_step=409, episodic_return=[18.882732]
global_step=423, episodic_return=[13.0925665]
global_step=446, episodic_return=[15.711637]
global_step=465, episodic_return=[11.194533]
global_step=487, episodic_return=[13.814677]
global_step=509, episodic_return=[21.887989]
global_step=533, episodic_return=[15.6689625]
global_step=556, episodic_return=[11.10995]
global_step=570, episodic_return=[9.299522]
global_step=620, episodic_return=[31.11622]
global_step=652, episodic_return=[27.618]
global_step=671, episodic_return=[14.795697]
global_step=690, episodic_return=[15.750496]
global_step=704, episodic_return=[10.999533]
global_step=719, episodic_return=[13.189093]
global_step=739, episodic_return=[17.489927]
global_step=773, episodic_return=[18.442959]
global_step=791, episodic_return=[13.601387]
global_step=823, episodic_return=[17.120953]
global_step=846, episodic_return=[13.356247]
global_step=866, episodic_return=[16.5028]
global_step=884, episodic_return=[8.237904]
global_step=915, episodic_return=[39.05222]
global_step=926, episodic_return=[8.979667]
global_step=943, episodic_return=[8.1905155]
global_step=966, episodic_return=[10.837193]
global_step=977, episodic_return=[8.870487]
global_step=987, episodic_return=[7.7295113]
global_step=1000, episodic_return=[11.206976]
global_step=1036, episodic_return=[45.082954]
global_step=1049, episodic_return=[11.473378]
global_step=1058, episodic_return=[4.7519517]
global_step=1077, episodic_return=[15.602547]
